Country,Total Cases,Total Deaths,Total Recovered,Active Cases
Afghanistan,4033,115,502,3416
Albania,856,31,627,198
Algeria,5558,494,2546,2518
Andorra,754,48,545,161
Angola,43,2,13,28
Antigua and Barbuda,25,3,19,3
Argentina,5776,300,1728,3748
Armenia,3175,44,1267,1864
Australia,6939,97,6141,701
Austria,15833,615,13928,1290
Azerbaijan,2422,31,1620,771
Bahamas,92,11,37,44
Bahrain,4774,8,2055,2711
Bangladesh,13770,214,2414,11142
Barbados,84,7,57,20
Belarus,22052,126,6050,15876
Belgium,52596,8581,13411,30604
Belize,18,2,16,0
Benin,284,2,62,220
Bhutan,7,0,5,2
Bolivia,2437,114,258,2065
Bosnia and Herzegovina,2090,102,1059,929
Botswana,23,1,12,10
Brazil,156061,10656,61685,83720
Brunei,141,1,132,8
Bulgaria,1921,90,422,1409
Burkina Faso,748,48,569,131
Burma,178,6,68,104
Burundi,15,1,7,7
Cabo Verde,236,2,56,178
Cambodia,122,0,120,2
Cameroon,2274,108,1232,934
Canada,68918,4823,31262,32833
Central African Republic,143,0,10,133
Chad,322,31,53,238
Chile,27219,304,12667,14248
China,83990,4637,79127,226
Colombia,10495,445,2569,7481
Comoros,11,1,0,10
Congo (Brazzaville),274,10,33,231
Congo (Kinshasa),937,39,130,768
Costa Rica,780,6,480,294
Cote d'Ivoire,1667,21,769,877
Croatia,2176,87,1726,363
Cuba,1754,74,1140,540
Cyprus,892,15,401,476
Czechia,8095,276,4447,3372
Denmark,10517,526,8291,1700
Diamond Princess,712,13,645,54
Djibouti,1189,3,834,352
Dominica,16,0,14,2
Dominican Republic,9882,385,2584,6913
Ecuador,29071,1717,3433,23921
Egypt,8964,514,2002,6448
El Salvador,784,17,276,491
Equatorial Guinea,439,4,13,422
Eritrea,39,0,37,2
Estonia,1733,60,747,926
Eswatini,163,2,14,147
Ethiopia,210,5,97,108
Fiji,18,0,14,4
Finland,5880,265,4000,1615
France,176782,26313,56148,94321
Gabon,661,8,110,543
Gambia,20,1,9,10
Georgia,626,10,297,319
Germany,171324,7549,143300,20475
Ghana,4263,22,378,3863
Greece,2710,151,1374,1185
Grenada,21,0,13,8
Guatemala,967,24,104,839
Guinea,2042,11,698,1333
Guinea-Bissau,641,3,25,613
Guyana,94,10,35,49
Haiti,151,12,17,122
Holy See,12,0,2,10
Honduras,1830,108,195,1527
Hungary,3213,405,904,1904
Iceland,1801,10,1773,18
India,62808,2101,19301,41406
Indonesia,13645,959,2607,10079
Iran,106220,6589,85064,14567
Iraq,2679,107,1702,870
Ireland,22760,1446,17110,4204
Israel,16454,247,11376,4831
Italy,218268,30395,103031,84842
Jamaica,490,9,62,419
Japan,15663,607,5906,9150
Jordan,522,9,387,126
Kazakhstan,4975,31,1776,3168
Kenya,649,30,207,412
"Korea, South",10874,256,9610,1008
Kosovo,862,28,622,212
Kuwait,7623,49,2622,4952
Kyrgyzstan,931,12,658,261
Laos,19,0,13,6
Latvia,930,18,464,448
Lebanon,809,26,234,549
Liberia,199,20,79,100
Libya,64,3,24,37
Liechtenstein,82,1,55,26
Lithuania,1444,49,828,567
Luxembourg,3877,101,3550,226
MS Zaandam,9,2,0,7
Madagascar,193,0,101,92
Malawi,56,3,14,39
Malaysia,6589,108,4929,1552
Maldives,790,3,29,758
Mali,692,37,298,357
Malta,490,5,427,58
Mauritania,8,1,6,1
Mauritius,332,10,320,2
Mexico,33460,3353,21824,8283
Moldova,4867,161,1925,2781
Monaco,96,4,82,10
Mongolia,42,0,14,28
Montenegro,324,8,274,42
Morocco,5910,186,2461,3263
Mozambique,87,0,34,53
Namibia,16,0,10,6
Nepal,110,0,31,79
Netherlands,42581,5441,149,36991
New Zealand,1494,21,1371,102
Nicaragua,16,5,7,4
Niger,815,45,617,153
Nigeria,4151,128,745,3278
North Macedonia,1622,91,1112,419
Norway,8099,219,32,7848
Oman,3224,17,1068,2139
Pakistan,28736,636,7809,20291
Panama,8282,237,4501,3544
Papua New Guinea,8,0,8,0
Paraguay,689,10,155,524
Peru,65015,1814,20246,42955
Philippines,10610,704,1842,8064
Poland,15651,785,5437,9429
Portugal,27406,1126,2499,23781
Qatar,21331,13,2449,18869
Romania,15131,939,6912,7280
Russia,198676,1827,31916,164933
Rwanda,280,0,140,140
Saint Kitts and Nevis,15,0,14,1
Saint Lucia,18,0,17,1
Saint Vincent and the Grenadines,17,0,9,8
San Marino,637,41,126,470
Sao Tome and Principe,208,5,4,199
Saudi Arabia,37136,239,10144,26753
Senegal,1634,17,643,974
Serbia,10032,215,2732,7085
Seychelles,11,0,8,3
Sierra Leone,291,18,58,215
Singapore,22460,20,2296,20144
Slovakia,1455,26,919,510
Slovenia,1454,101,255,1098
Somalia,997,48,110,839
South Africa,9420,186,3983,5251
South Sudan,120,0,2,118
Spain,223578,26478,133952,63148
Sri Lanka,847,9,260,578
Sudan,1164,64,119,981
Suriname,10,1,9,0
Sweden,25921,3220,4971,17730
Switzerland,30251,1830,26400,2021
Syria,47,3,29,15
Taiwan*,440,6,361,73
Tajikistan,612,20,0,592
Tanzania,509,21,183,305
Thailand,3004,56,2787,161
Timor-Leste,24,0,21,3
Togo,153,10,87,56
Trinidad and Tobago,116,8,104,4
Tunisia,1032,45,660,327
Turkey,137115,3739,89480,43896
US,1309550,78795,212534,1018221
Uganda,116,0,55,61
Ukraine,14710,376,2909,11425
United Arab Emirates,17417,185,4295,12937
United Kingdom,216525,31662,1001,183862
Uruguay,702,18,513,171
Uzbekistan,2349,10,1846,493
Venezuela,402,10,190,202
Vietnam,288,0,241,47
West Bank and Gaza,375,2,228,145
Western Sahara,6,0,5,1
Yemen,34,7,1,26
Zambia,252,7,112,133
Zimbabwe,35,4,9,22
